Item Number,Book Title,Used Price,New Price,Review Count,Publisher,Item Weight,Sales Rank,Book Rank,Genre,Timestamp

0062073419,Sidney Sheldon's Angel of the Dark,$0.10,$2.89,301,"William Morrow (April 3, 2012)",1,"800,831",19290,,"Romance, Mystery, Thriller & Suspense, Suspense, Romantic Suspense, Thrillers & Suspense",2017-12-13 11:57:16
067976982X,"American Academy of Pediatrics Guide to Your Child's Allergies and Asthma: Breathing Easy and Bringing Up Healthy, Active Children",$0.01,$5.00,4,Villard; 1 edition (June 2000),8,"2,560,274",76,,"Respiratory, Allergies, Health, Fitness & Dieting, Lung & Respiratory Diseases, Children's Health, Diseases & Physical Ailments",2017-12-13 11:57:39
0066620120,Now or Never: How Companies Must Change to Win the Battle for Internet Consumers,$1.35,$2.00,26,"HarperBusiness; 1st edition (December 8, 1999)",1,"6,611,209",1558,,"Industries, Internet & Social Media, E-Commerce, Retailing, Business & Money, Planning & Forecasting, Management & Leadership, Computers & Technology",2017-12-13 11:57:43
0618138730,"Having Twins And More: A Parent's Guide to Multiple Pregnancy, Birth, and Early Childhood",$1.44,$3.50,111,"Mariner Books; 3 edition (July 24, 2003)",2,"845,133",52,,"Health, Fitness & Dieting, Allied Health Professions, Parenting & Relationships, General, Twins & Multiples, Women's Health, Medical Books, Family Relationships",2017-12-13 11:58:01
1597898228,A Texas Legacy Christmas (Texas Legacy Series #4),$0.10,$1.28,73,"Barbour Publishing, Inc (September 1, 2007)",0,"2,217,318",23046,,"Romance, Genre Fiction, Religious & Inspirational, Christian Books & Bibles, Literature & Fiction",2017-12-13 11:58:10
0764222732,As You Wish (Christy and Todd: The College Years #2),$5.00,$60.52,73,7 and up<br/>,11,"1,476,201",1518,,"Christian, Children's Books, Christianity, Religions, Religious Fiction, Teens, Religious, Literature & Fiction",2017-12-13 11:58:16
0061374539,Full of Grace,$0.10,$5.50,261,"William Morrow Paperbacks; Reprint edition (June 24, 2008)",9,"96,217",1395,,"Contemporary, Family Life, Domestic Life, Literature & Fiction, Genre Fiction, Women's Fiction",2017-12-13 11:58:22
B00DGDLBTM,Beloved Impostor,$1.02,$20.00,21,B00DGDLBTM,12,"10,337,525",,,,2017-12-13 11:58:26
0939613158,Timeless Super Achievers,$1.10,$2.11,,"Personal Selling Power, Incorporated; First Edition edition (1998)",13,"8,963,132",,,,2017-12-13 11:58:36
0310205719,The Purpose Driven Life,$0.25,$3.00,4,"Zondervan; 1st edition (October 8, 2002)",1,"14,555",85,,"Spiritual, Self Help, Self-Help, Christian Living, Spiritual Growth, Christian Books & Bibles",2017-12-13 11:58:46
0758214448,Out Of This World,$1.02,$5.82,30,"Brava; First Edition edition (September 1, 2006)",10,"2,016,981",30669,,"Romance, Romantic Comedy, Paranormal, Contemporary",2017-12-13 11:58:50
1118083148,Betty Crocker Living with Cancer Cookbook (Betty Crocker Cooking),$1.44,$5.25,39,288 pages,2,"452,896",90,,"Health, Fitness & Dieting, Cancer, Cookbooks, Food & Wine, Special Diet, Other Diets, Diets & Weight Loss",2017-12-13 11:59:12
0312940572,Close Case (Samantha Kincaid Mysteries),$0.60,$5.11,56,368 pages,6,"645,129",1382,,"Mystery, Thrillers & Suspense, Legal, Suspense, Women Sleuths, Mystery, Thriller & Suspense",2017-12-13 11:59:21
0738209023,"What Matters Most: How A Small Group Of Pioneers Is Teaching Social Responsibility To Big Business, And Why Big Business Is Listening",$1.99,$1.37,9,"Basic Books (December 24, 2003)",1,"5,266,471",3895,,"Environmental Economics, Economics, Business & Money, Development & Growth, Sustainable Development",2017-12-13 11:59:27
0452297648,The House at Tyneford: A Novel,$1.70,$18.99,405,"G.P. Putnam's Sons; Reprint edition (December 27, 2011)",10,"83,122",129,,"Jewish, 20th Century, Romance, Historical, Genre Fiction, Religious & Inspirational, Literature & Fiction",2017-12-13 11:59:34
0316778001,The Baby Book: Everything You Need to Know About Your Baby from Birth to Age Two (Revised and Updated Edition),$0.25,$10.24,1,769 pages,1,"221,289",444,,"Health, Fitness & Dieting, Children's Health, Medical Books, Child Psychology, Psychology & Counseling, Psychology",2017-12-13 11:59:41
0316666343,The Lovely Bones,$0.10,$4.91,4,"Little, Brown and Company; 1st edition (June 2, 2002)",1,"71,196",1156,,"Thrillers & Suspense, Psychological Thrillers, Contemporary, Literary, Mystery, Thriller & Suspense, Literature & Fiction",2017-12-13 11:59:50
0312243383,"NeanderThin: Eat Like a Caveman to Achieve a Lean, Strong, Healthy Body",$1.80,$8.52,113,St. Martin's Press; 1st edition (November 1999),13,"967,991",563,,"Low Carb, Health, Fitness & Dieting, Cookbooks, Food & Wine, Weight Loss, Diets & Weight Loss, Low Carbohydrate, Special Diet",2017-12-13 11:59:58
0345520904,"Now Eat This!: 150 of America's Favorite Comfort Foods, All Under 350 Calories",$1.09,$6.79,502,"Ballantine Books; 1 edition (March 2, 2010)",1,"47,935",100,,"U.S. Regional, Cookbooks, Food & Wine, Weight Loss, Low Fat, Regional & International, Special Diet",2017-12-13 12:00:08
0842384154,Shadowed (Underground Zealot Series #3),$0.10,$7.68,93,"Tyndale House Publishers, Inc. (April 1, 2006)",11,"358,615",405,,"Mystery & Suspense, Political, Spies & Politics, Science Fiction, Thrillers & Suspense, Mystery, Thriller & Suspense, Christian Books & Bibles, Literature & Fiction",2017-12-13 12:00:19
0312348126,Don't Look Down,$0.25,$3.00,182,"St. Martin's Press; First Edition edition (April 4, 2006)",1,"1,206,173",4136,,"Romance, Humor, Humorous, Romantic Comedy, United States, Humor & Satire, Literature & Fiction",2017-12-13 12:00:25
0778323625,Country Brides: A Little Bit Country,$0.99,$4.99,51,"MIRA; Reprint edition (June 19, 2007)",4,"1,930,661",52402,,"Romance, Contemporary, Literature & Fiction",2017-12-13 12:00:32
0972553703,Dr. Nicholas Romanov's Pose Method of Running,$1.99,$34.00,74,"Pose Tech Corp; First Edition edition (December 16, 2002)",1,"2,182,691",2965,,"Individual Sports, Exercise & Fitness, Health, Fitness & Dieting, Sports & Outdoors, Running & Jogging",2017-12-13 12:00:49
1606529862,No More Brain Drain: Proven Ways to Maintain Your Mind and Memories,$0.25,$2.50,3,The Reader's Digest Association; First Edition edition (2009),2,"1,867,858",,,,2017-12-13 12:01:00
0312368070,Quicksand: An Eve Duncan Forensics Thriller,$0.25,$2.00,117,379 pages,7,"323,277",1616,,"Mystery, Kidnapping, Thrillers & Suspense, Crime, Suspense, Women Sleuths, Mystery, Thriller & Suspense",2017-12-13 12:01:12
0743212541,Faith And The Good Thing,$4.95,$77.22,4,"Scribner; Annotated edition edition (January 10, 2001)",9,"2,208,110",59492,,"Literary, Contemporary, Literature & Fiction",2017-12-13 12:01:21
0060722223,"Bootcamp360 for Brides: The Few, the Proud, the Fit",$2.50,$2.88,9,"William Morrow Paperbacks (December 28, 2004)",14,"4,552,052",2402,,"Crafts, Hobbies & Home, Health, Fitness & Dieting, Weddings, General, Women's Health, Beauty, Grooming, & Style",2017-12-13 12:01:28
